
Sysinternals Autoruns v14.3 - Autostart program viewer
Copyright ? 2002-2026 Mark Russinovich
Sysinternals - www.sysinternals.com

Time,Entry Location,Entry,Enabled,Category,Profile,Description,Signer,Company,Image Path,Version,Launch String,MD5,SHA-1,PESHA-1,PESHA-256,SHA-256,IMP
4/1/2024 12:26:32 AM,HKLM\System\CurrentControlSet\Control\Terminal Server\Wds\rdpwd\StartupPrograms,,,Logon,System-wide,,,,,,,,,,,,
3/6/2026 3:48:34 PM,HKLM\System\CurrentControlSet\Control\Terminal Server\Wds\rdpwd\StartupPrograms,rdpclip,enabled,Logon,System-wide,RDP Clipboard Monitor,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\rdpclip.exe,10.0.26100.7920,rdpclip,E7B68327B85D4F134E958F842139FF3E,676896386D42145E2B11CFBE760EE23E506018DA,22C6BFCD5603F4F90C9BD507CAAD698DC3F42FF0,330290DE4B3358B6EC8BADA1D8B04B6A083F1853397BADF0F0129FC94DB2E825,98076A671009A1C6D1C83FBD45555D6738D1BD9ED69CB9153502E7D20DDEBA9C,FBDEC6E4BA9A5126DECA850B0BC67149
9/22/2026 4:04:26 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,,,Logon,System-wide,,,,,,,,,,,,
3/6/2026 3:48:48 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,SecurityHealth,enabled,Logon,System-wide,Windows Security notification icon,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\SecurityHealthSystray.exe,10.0.26100.7309,%windir%\system32\SecurityHealthSystray.exe,42266953A0CF902BAC3DB3C285119D1B,80AE61190CD4205834C781F8014E744B15FD6D78,08B810260689F664EFBB7D5DB2C0AC8B308E4410,2162B42ECA0EE070372BCDFBABA3C24B17977EDF1B69614882B8E1CC8033AD5F,0235838BC7668B37CF7BB534F927FDA83A04B0076A5A37097A4741C840D744BE,81064125BBA480CDFE4B334998446BE8
6/29/2026 5:13:28 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,VMware User Process,enabled,Logon,System-wide,VMware Tools Core Service,(Verified) Broadcom Inc,(Verified) Broadcom Inc,C:\Program Files\VMware\VMware Tools\vmtoolsd.exe,13.1.5.0,"""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"" -n vmusr",2BECDD64E53D61C88BF1E48CBF64D661,710AC650A054FFEB2732B951119081A510FCC4D8,149D8D8D6B3EFA10094D822129130C461FE1E246,3DA89416A52F6A2FAB15E83A47823496FE090259E65E92ABA16F7549A98DE39E,36B7A363FF3E07DC4ED5312B4478410079C1322DCF06CFB8C1B4D21547060D00,CA443A538442EC5567F1BBEE239321D0
9/22/2026 4:05:53 PM,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\Shell,,,Logon,System-wide,,,,,,,,,,,,
3/6/2026 3:47:59 PM,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\Shell,explorer.exe,enabled,Logon,System-wide,Windows Explorer,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\explorer.exe,10.0.26100.8036,explorer.exe,45FACBB2FAE7EDFC2BE186FE76FA61A6,38C9F90BA6782CDDBB18C1EDAF4FD8687380BF5E,0228D5C4C89B6F8895FB62A963E44F0C926F44AF,CE5A7B776B229190199C92D78ECDBD0422EA3D0C925D7C54F9CB8C2C26FB2B4B,6D560CE5E75149DFFE1B67F0A9F1A0717C9996D50EF2DBF3349B251B64C3A195,47610F029B9F7F13E78205874EBD8931
4/1/2024 12:26:32 AM,HKLM\SYSTEM\CurrentControlSet\Control\SafeBoot\AlternateShell,,,Logon,System-wide,,,,,,,,,,,,
3/6/2026 3:47:52 PM,HKLM\SYSTEM\CurrentControlSet\Control\SafeBoot\AlternateShell,cmd.exe,enabled,Logon,System-wide,Windows Command Processor,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\cmd.exe,10.0.26100.7920,cmd.exe,629A9DE29FCD99366A66C651A535A5A6,E59C13FDD74E1AD950C98F905795ECDEFFFB8221,CB20BCAE293B57271AB40BC6750D4C2A3E5CA141,E2769B32C83A77ED7CA2780DC836C4AEC33C82391FF3D97B7A5378DB893CFF37,F682AADDA9DEB654885AE17909380A25F7CB1A43AC0934AC425EE8DE4924C7F3,B0F049C014592B156EB1FA857E99CEB9
9/22/2026 4:05:53 PM,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\UserInit,,,Logon,System-wide,,,,,,,,,,,,
3/6/2026 3:48:37 PM,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\UserInit,C:\WINDOWS\system32\userinit.exe,enabled,Logon,System-wide,Userinit Logon Application,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\userinit.exe,10.0.26100.7920,C:\WINDOWS\system32\userinit.exe,27A08318EB29EC1F4070C5A688CEA241,DE2EDE3A0A78888603188CB6DF272F362B714DAC,D8C0049F5A641DEE68D776F714DA8B2CA2E5ECDC,717F7C358E63C174FF14BB7029562F9D1AD1F49F59F9CEF5FC08F16BC4529686,880CF5AC3050B21C6C4FC797C76857741A36E4C45A605B9F6300AF32BF629C1C,831F09A183825FCD04B27DF4080A7582
9/22/2026 4:05:53 PM,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VmApplet,,,Logon,System-wide,,,,,,,,,,,,
4/1/2024 12:22:12 AM,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VmApplet,SystemPropertiesPerformance.exe /pagefile,enabled,Logon,System-wide,Change Computer Performance Settings,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\SystemPropertiesPerformance.exe,10.0.26100.1,SystemPropertiesPerformance.exe /pagefile,E28153CA6B56A315B87DD6669CAEF9CE,E8616A9A51934C62D5A3522F1A59104E34DC830F,96D93A5126F06B2D721A3B992729D299E891065C,78C97F01FA18085E70CFD81CE41526551D237B9FDC7CCE6C0BEDBB93B189F7C2,969DED862B76B2B1E7C639E743F24636D1F522477817A983B5EE329CF9F186E9,3E87C99487AA5F6290DBD69127C1C944
3/6/2026 4:04:07 PM,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,,,Logon,System-wide,,,,,,,,,,,,
3/5/2026 9:06:34 PM,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,Microsoft Edge,enabled,Logon,System-wide,Microsoft Edge Installer,(Verified) Microsoft Corporation,(Verified) Microsoft Corporation,C:\Program Files (x86)\Microsoft\Edge\Application\145.0.3800.97\Installer\setup.exe,145.0.3800.97,"""C:\Program Files (x86)\Microsoft\Edge\Application\145.0.3800.97\Installer\setup.exe"" --configure-user-settings --verbose-logging --system-level --msedge",C52BAF0E83804592CA10C33EEA401381,7B08D06773E4748CFB7DF1EB1A3CEA3EEBDFA129,1BB6D823A1FE16E5C67210A8A29EDE73906EEF38,EC66C8081260BEE081D8EF0887F39F8ACD1823D8154EF81A9C5F961AB62035B0,25F167438A40BF37A859343FAE14A9C491965CDB4F5F60E096C473DFD35C9FF2,FE6F8ECCCA7E3CD3C22A13EF53A5AEA8
3/6/2026 3:48:06 PM,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,Microsoft Windows Media Player,enabled,Logon,System-wide,Microsoft Windows Media Player Legacy Setup Utility,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\unregmp2.exe,12.0.26100.1882,C:\WINDOWS\system32\unregmp2.exe /ShowWMP,D59496E30D5DB2EF505FB4C437C57387,645268802366CC6826E2F5A8848A62DA89E546D5,A36B1372A4AD365323306AC00CCE61BB26A48F39,989592413B58447DAA3624A0C7E8C9402D361A85A9FCAD3911852C90C862270A,F431F1AF28EB728760CDF1FCC376D75ECC7BEDCF7DF3C1A56831715DE7ED5665,FA5CD440F32D79EC602926E534594A2F
