"Algorithm","Hash","Path"
"SHA256","ABEC9BFFE1B6B0F3D47ECE6AF54521D3B599707647C16610500028FB4ECABCB9","C:\LAB3\Evidence\auth_events_before_rotation.txt"
"SHA256","DDC0CF65C30904F3AF81B189F405095694CC091C616CE8A3F38015C105CA7F39","C:\LAB3\Evidence\autoruns_before.csv"
"SHA256","A118A8C2E348925CF5118F0118F2D8231E557C84F2A639A5F620CA48FD5635C8","C:\LAB3\Evidence\baseline_defender.txt"
"SHA256","63422460F398A5848552423D9D47BE7DCFA852A2F1765D5FE2F5716726FB9A40","C:\LAB3\Evidence\baseline_firewall.txt"
"SHA256","3E9CC69CEC7957DF29681F91E9CEBC281E2DDA8D0E7565E30AD45DC56D3E560B","C:\LAB3\Evidence\baseline_network.txt"
"SHA256","F47141B7C0C2D271F73E899C78CBB24EEA28C6A4907D2DD278C89D2F06E47F67","C:\LAB3\Evidence\baseline_os.txt"
"SHA256","AB2F1B7E29CB7B27EEDD8D93F7A98B5DFA93489537B44D675E883DEC11836084","C:\LAB3\Evidence\baseline_processes.txt"
"SHA256","36701929D5B39ADF41986F7D5C7F1976BD8CD53EE862C9BCE13983D624A14665","C:\LAB3\Evidence\defender_eicar.txt"
"SHA256","AA6C131BA093568E82A41E52A59C34F5173F2C0E27492E05755E436392D69700","C:\LAB3\Evidence\evidence_sha256.csv"
"SHA256","937FB07583B4BE13B9DD1B6A6EA4CB7CC4DB39172200E8293A13F9840F11982E","C:\LAB3\Evidence\start_time.txt"
"SHA256","3F5AFC279CF53BAE7857EEAA91122A7B4FDD600D6780391CC6ACBB764D768132","C:\LAB3\Evidence\sysmon_persistence.txt"
"SHA256","5C17AEB440FDEECE0CDABEDEABFB5A377AF113E5D0B92095BC5680461ABB0EF0","C:\LAB3\Evidence\task_ran.txt"
